Survey Report



Survey ID,1,Survey Name,kth 11
Created,12/05/16 08:43:10,Modified,12/05/16 08:43:10
Location,,Survey Run On,12/05/16 08:43:26
Operator,,Customer,
Tool,PeeWee,"Serial nr.",8520

"Mag.Decl.",0
Northing,"0.00"
Easting,"0.00"
Elevation,"0.00"

Recorded Data:

Depth,"Az.","Incl.","North.","East.","Elev.","G.Tf.","G.Vec.","Mag.Tf.","Mag.Vec.","Mag.Dip.","Bat.","Temp."
"0.0","346.58","-84.24","0.00","0.00","0.00","177.19","9.79","168.54",13795,"79.79","6.9","18.0"
"10.0","252.57","-83.74","0.32","-0.64","-9.94","139.50","9.79","15.13",51330,"-72.92","6.8","17.7"
"20.0","252.92","-83.54","0.00","-1.69","-19.88","170.66","9.80","46.32",51393,"-72.68","6.8","17.7"
"30.0","249.78","-83.98","-0.35","-2.73","-29.82","11.49","9.82","245.65",51229,"-72.57","6.9","17.7"
"40.0","251.54","-83.99","-0.70","-3.71","-39.77","287.96","9.79","164.31",51669,"-71.70","6.8","17.1"
"50.0","250.44","-84.13","-1.03","-4.69","-49.72","3.98","9.79","238.66",52234,"-73.01","6.9","16.4"
"60.0","256.67","-84.11","-1.32","-5.67","-59.66","186.47","9.79","66.57",51703,"-72.74","6.9","15.0"
"70.0","255.04","-84.33","-1.57","-6.65","-69.61","57.05","9.79","295.66",51670,"-73.46","6.9","13.8"
"80.0","257.30","-84.20","-1.81","-7.62","-79.56","185.46","9.78","66.39",51599,"-72.66","6.9","12.6"
"90.0","252.87","-84.29","-2.07","-8.59","-89.51","6.63","9.78","243.80",51814,"-72.89","6.9","11.5"
"100.0","253.96","-84.30","-2.35","-9.54","-99.46","103.82","9.78","342.03",51960,"-72.79","6.8","11.0"
"110.0","250.06","-84.31","-2.66","-10.48","-109.41","12.63","9.78","247.56",51693,"-72.82","6.9","10.1"
"120.0","249.18","-84.66","-2.99","-11.38","-119.37","330.53","9.78","205.76",51919,"-72.49","6.8","9.6"
"130.0","248.13","-84.61","-3.33","-12.25","-129.32","61.83","9.78","295.60",51637,"-73.10","6.8","9.6"
"140.0","244.86","-84.97","-3.69","-13.09","-139.28","115.12","9.78","346.81",51531,"-73.28","6.8","9.1"
"150.0","230.20","-84.41","-4.19","-13.86","-149.24","17.23","9.81","236.22",51807,"-72.67","6.8","9.1"
"160.0","224.24","-84.35","-4.85","-14.58","-159.19","357.11","9.78","211.38",51868,"-72.45","6.8","9.1"
"170.0","216.24","-84.20","-5.61","-15.22","-169.14","8.51","9.78","216.32",51876,"-72.39","6.8","8.9"
"180.0","210.99","-83.92","-6.48","-15.79","-179.09","8.42","10.00","211.93",51871,"-72.24","6.8","8.9"
"190.0","205.13","-82.83","-7.49","-16.33","-189.02","53.46","9.78","251.57",51762,"-72.70","6.8","9.1"
"200.0","203.65","-81.78","-8.71","-16.88","-198.93","80.08","9.78","276.39",51680,"-72.90","6.9","9.1"
"210.0","203.84","-81.16","-10.07","-17.48","-208.82","80.91","9.78","276.97",51677,"-72.93","6.9","9.1"
"220.0","206.01","-81.04","-11.47","-18.13","-218.70","124.13","9.92","321.54",51537,"-73.02","6.8","9.1"
"230.0","205.07","-80.78","-12.90","-18.81","-228.57","105.31","9.78","301.92",51581,"-73.07","6.8","9.4"
"240.0","201.87","-80.50","-14.39","-19.46","-238.44","71.45","9.78","265.87",51729,"-72.79","6.9","9.6"
"250.0","200.81","-80.53","-15.93","-20.06","-248.30","11.45","9.78","205.34",51918,"-72.25","6.8","9.6"
"260.0","195.73","-80.55","-17.49","-20.57","-258.17","355.54","9.78","186.08",51975,"-72.05","6.8","9.6"
"270.0","188.59","-80.63","-19.08","-20.91","-268.03","358.72","9.78","184.49",51983,"-72.05","6.8","9.8"
"280.0","187.74","-80.36","-20.72","-21.15","-277.89","10.25","9.78","195.40",51941,"-72.13","6.8","9.8"
"290.0","185.45","-80.05","-22.41","-21.34","-287.75","8.22","9.78","191.81",51970,"-72.09","6.7","10.1"
"300.0","184.12","-79.92","-24.14","-21.49","-297.60","8.13","9.78","190.83",51960,"-72.10","6.7","10.3"

"Depth in meter, azimuth in degrees, inclination in degrees, temperature in Celsius."
"DSM version 3.2.0.58 - File created 16/05/16 07:09:58"
