Survey Report



Survey ID,5,Survey Name,kth 2
Created,12/05/16 08:43:10,Modified,12/05/16 08:43:10
Location,,Survey Run On,12/05/16 08:43:26
Operator,,Customer,
Tool,PeeWee,"Serial nr.",8520

"Mag.Decl.",0
Northing,"0.00"
Easting,"0.00"
Elevation,"0.00"

Recorded Data:

Depth,"Az.","Incl.","North.","East.","Elev.","G.Tf.","G.Vec.","Mag.Tf.","Mag.Vec.","Mag.Dip.","Bat.","Temp."
"0.0","303.98","-79.80","0.00","0.00","0.00","347.80","9.79","300.14",4754,"49.27","6.9","14.3"
"10.0","7.79","-79.86","1.37","-0.61","-9.84","7.06","9.78","25.81",51341,"-73.01","6.9","14.0"
"20.0","6.98","-79.36","3.15","-0.38","-19.68","3.23","9.22","20.66",50690,"-72.59","6.9","14.0"
"30.0","8.75","-79.74","4.95","-0.14","-29.51","4.53","9.69","26.13",51130,"-73.15","6.9","14.0"
"40.0","6.54","-79.56","6.73","0.10","-39.35","10.37","9.79","27.12",51290,"-73.15","6.9","14.0"
"50.0","4.73","-79.05","8.58","0.28","-49.18","13.58","9.76","26.86",51591,"-73.19","6.9","13.8"
"60.0","4.80","-79.10","10.47","0.44","-59.00","85.63","9.78","97.98",51599,"-72.42","6.9","13.3"
"70.0","1.47","-79.00","12.36","0.55","-68.81","100.57","9.78","104.43",51659,"-72.36","6.9","12.9"
"80.0","1.90","-78.81","14.29","0.60","-78.63","86.72","9.78","91.95",51726,"-72.56","6.9","11.9"
"90.0","0.29","-78.50","16.25","0.64","-88.43","113.70","9.78","114.51",51735,"-72.14","6.9","11.5"
"100.0","359.31","-78.22","18.27","0.63","-98.23","98.50","9.78","96.44",51742,"-72.37","6.9","10.8"
"110.0","357.08","-78.10","20.32","0.57","-108.01","113.87","9.78","105.26",51709,"-72.14","6.9","10.1"
"120.0","356.23","-77.78","22.41","0.45","-117.79","126.42","9.77","114.89",51761,"-72.04","6.9","9.6"
"130.0","355.62","-77.50","24.54","0.29","-127.56","129.93","9.77","116.03",51767,"-71.95","6.9","9.6"
"140.0","354.87","-77.72","26.68","0.11","-137.33","139.70","9.78","124.24",51750,"-71.87","6.9","9.1"
"150.0","354.72","-77.51","28.82","-0.08","-147.09","140.38","9.78","123.70",51993,"-71.98","6.9","9.1"
"160.0","356.24","-77.28","30.99","-0.25","-156.85","155.10","9.77","142.82",51825,"-71.88","6.9","9.1"
"170.0","358.64","-77.12","33.21","-0.35","-166.60","114.68","9.78","109.96",51744,"-72.02","6.9","9.1"
"180.0","359.81","-77.28","35.42","-0.38","-176.36","89.77","9.78","89.09",51715,"-72.29","6.9","9.1"
"190.0","0.28","-77.17","37.63","-0.38","-186.11","92.28","9.77","93.29",51753,"-72.38","6.9","9.1"
"200.0","0.97","-76.70","39.89","-0.35","-195.85","89.62","9.77","93.49",51752,"-72.34","6.9","9.1"
"210.0","0.85","-76.70","42.19","-0.32","-205.58","73.12","9.77","76.61",51710,"-72.53","6.9","9.1"
"220.0","358.06","-76.64","44.50","-0.34","-215.31","345.50","9.78","335.49",51698,"-73.51","6.9","9.1"
"225.0","358.15","-76.56","45.66","-0.38","-220.18","9.16","9.78","359.70",51664,"-73.38","6.9","9.1"

"Depth in meter, azimuth in degrees, inclination in degrees, temperature in Celsius."
"DSM version 3.2.0.58 - File created 16/05/16 07:07:42"
